ticker,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,proba,win,equity_after,entry_dt,month
RGTI,2025-07-17 14:30:00+00:00,2025-07-18 13:30:00+00:00,16.5133,16.3568,-1.447,-49.54,timeout,0.1795,0,17583.02,2025-07-17 14:30:00+00:00,2025-07
CRML,2025-07-17 15:30:00+00:00,2025-07-17 15:30:00+00:00,4.4322,4.2971,-3.548,-123.26,stop,0.2275,0,17244.32,2025-07-17 15:30:00+00:00,2025-07
CRML,2025-07-17 16:30:00+00:00,2025-07-18 13:30:00+00:00,4.1721,4.5036,7.446,256.8,target,0.2597,1,17839.83,2025-07-17 16:30:00+00:00,2025-07
LWLG,2025-07-17 17:30:00+00:00,2025-07-18 16:30:00+00:00,1.8109,1.7938,-1.444,-49.46,timeout,0.2275,0,18197.16,2025-07-17 17:30:00+00:00,2025-07
BBAI,2025-07-18 14:30:00+00:00,2025-07-21 13:30:00+00:00,8.069,8.016,-1.157,-41.29,timeout,0.1837,0,17901.67,2025-07-18 14:30:00+00:00,2025-07
ACHR,2025-07-18 14:30:00+00:00,2025-07-21 13:30:00+00:00,13.2866,12.8816,-3.548,-126.61,stop,0.1837,0,17942.96,2025-07-18 14:30:00+00:00,2025-07
LCID,2025-07-18 14:30:00+00:00,2025-07-18 14:30:00+00:00,28.9205,31.2185,7.446,265.67,target,0.1837,1,17978.89,2025-07-18 14:30:00+00:00,2025-07
CRML,2025-07-18 14:30:00+00:00,2025-07-18 14:30:00+00:00,4.7124,4.5687,-3.549,-126.61,stop,0.1936,0,17713.22,2025-07-18 14:30:00+00:00,2025-07
AEVA,2025-07-18 15:30:00+00:00,2025-07-18 16:30:00+00:00,32.4062,31.4183,-3.549,-127.6,stop,0.1837,0,18069.57,2025-07-18 15:30:00+00:00,2025-07
ATAI,2025-07-18 15:30:00+00:00,2025-07-18 15:30:00+00:00,3.0515,3.294,7.446,267.74,target,0.1936,1,18246.63,2025-07-18 15:30:00+00:00,2025-07
