etf,direction,entry_time,exit_time,entry,exit,ret_pct,pnl,reason,market_proba,win,equity_after,entry_dt,month
SQQQ,SHORT,2025-08-25 18:30:00+00:00,2025-08-26 18:30:00+00:00,88.8234,88.7306,-0.604,-16.61,timeout,0.0053,0,9143.23,2025-08-25 18:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-26 19:30:00+00:00,2025-08-27 19:30:00+00:00,88.8444,88.1219,-1.313,-36.02,timeout,0.0042,0,9107.21,2025-08-26 19:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-28 13:30:00+00:00,2025-08-29 13:30:00+00:00,88.019,89.4802,1.16,31.7,timeout,0.0079,1,9138.91,2025-08-28 13:30:00+00:00,2025-08
SQQQ,SHORT,2025-08-29 15:30:00+00:00,2025-09-02 15:30:00+00:00,89.7043,94.3623,4.693,128.66,timeout,0.0075,1,9267.56,2025-08-29 15:30:00+00:00,2025-08
SQQQ,SHORT,2025-09-02 16:30:00+00:00,2025-09-03 13:30:00+00:00,94.4777,91.5976,-3.548,-98.66,stop,0.0069,0,9168.9,2025-09-02 16:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-03 16:30:00+00:00,2025-09-04 16:30:00+00:00,90.1951,88.5082,-2.37,-65.2,timeout,0.0069,0,9103.71,2025-09-03 16:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-04 17:30:00+00:00,2025-09-05 13:30:00+00:00,88.5943,85.8935,-3.548,-96.91,stop,0.0055,0,9006.79,2025-09-04 17:30:00+00:00,2025-09
TQQQ,LONG,2025-09-05 14:30:00+00:00,2025-09-08 14:30:00+00:00,45.7128,46.959,2.226,60.15,timeout,0.0368,1,9066.94,2025-09-05 14:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-08 16:30:00+00:00,2025-09-09 16:30:00+00:00,85.7924,85.5822,-0.745,-20.26,timeout,0.0076,0,9046.68,2025-09-08 16:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-09 17:30:00+00:00,2025-09-10 17:30:00+00:00,85.6603,85.4323,-0.766,-20.8,timeout,0.0064,0,9025.88,2025-09-09 17:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-10 18:30:00+00:00,2025-09-11 18:30:00+00:00,85.5082,83.5832,-2.751,-74.5,timeout,0.007,0,8951.38,2025-09-10 18:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-11 19:30:00+00:00,2025-09-12 19:30:00+00:00,83.6668,82.7881,-1.55,-41.63,timeout,0.008,0,8909.75,2025-09-11 19:30:00+00:00,2025-09
TQQQ,LONG,2025-09-15 14:30:00+00:00,2025-09-16 14:30:00+00:00,49.3021,49.3831,-0.336,-8.98,timeout,0.0275,0,8900.78,2025-09-15 14:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-16 16:30:00+00:00,2025-09-17 16:30:00+00:00,81.0655,82.1599,0.85,22.7,timeout,0.0078,1,8923.47,2025-09-16 16:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-17 17:30:00+00:00,2025-09-18 13:30:00+00:00,82.2411,79.734,-3.548,-94.99,stop,0.0069,0,8828.48,2025-09-17 17:30:00+00:00,2025-09
TQQQ,LONG,2025-09-18 14:30:00+00:00,2025-09-19 14:30:00+00:00,51.0405,50.6647,-1.236,-32.75,timeout,0.0336,0,8795.73,2025-09-18 14:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-22 17:30:00+00:00,2025-09-23 17:30:00+00:00,76.6133,78.1359,1.487,39.25,timeout,0.0075,1,8834.98,2025-09-22 17:30:00+00:00,2025-09
TQQQ,LONG,2025-09-24 14:30:00+00:00,2025-09-25 13:30:00+00:00,51.2006,49.6397,-3.548,-94.05,stop,0.0242,0,8740.93,2025-09-24 14:30:00+00:00,2025-09
TQQQ,LONG,2025-09-25 14:30:00+00:00,2025-09-26 14:30:00+00:00,49.99,50.03,-0.42,-11.01,timeout,0.0291,0,8729.91,2025-09-25 14:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-26 16:30:00+00:00,2025-09-29 13:30:00+00:00,78.4392,76.048,-3.548,-92.93,stop,0.0073,0,8636.98,2025-09-26 16:30:00+00:00,2025-09
TQQQ,LONG,2025-09-29 14:30:00+00:00,2025-09-30 14:30:00+00:00,52.0585,50.9277,-2.672,-69.24,timeout,0.0299,0,8567.74,2025-09-29 14:30:00+00:00,2025-09
SQQQ,SHORT,2025-09-30 16:30:00+00:00,2025-10-01 16:30:00+00:00,77.079,75.3123,-2.792,-71.76,timeout,0.0082,0,8495.98,2025-09-30 16:30:00+00:00,2025-09
SQQQ,SHORT,2025-10-01 17:30:00+00:00,2025-10-02 17:30:00+00:00,75.3882,74.1964,-2.081,-53.04,timeout,0.0073,0,8442.94,2025-10-01 17:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-02 18:30:00+00:00,2025-10-03 18:30:00+00:00,74.2621,75.1124,0.645,16.34,timeout,0.0075,1,8459.28,2025-10-02 18:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-03 19:30:00+00:00,2025-10-06 19:30:00+00:00,75.1876,73.5382,-2.694,-68.36,timeout,0.0082,0,8390.92,2025-10-03 19:30:00+00:00,2025-10
TQQQ,LONG,2025-10-07 14:30:00+00:00,2025-10-08 14:30:00+00:00,53.7369,53.8106,-0.363,-9.13,timeout,0.0343,0,8381.78,2025-10-07 14:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-08 17:30:00+00:00,2025-10-09 17:30:00+00:00,72.8849,73.1634,-0.118,-2.97,timeout,0.0069,0,8378.82,2025-10-08 17:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-09 18:30:00+00:00,2025-10-10 18:30:00+00:00,73.2361,79.0554,7.446,187.17,target,0.0071,1,8565.98,2025-10-09 18:30:00+00:00,2025-10
SQQQ,SHORT,2025-10-13 18:30:00+00:00,2025-10-14 18:30:00+00:00,74.8374,75.2299,0.024,0.63,timeout,0.0086,1,8566.61,2025-10-13 18:30:00+00:00,2025-10
