ticker,entry_time,exit_time,entry,exit,ret_pct,reason,proba,win
ZKIN,2025-04-04 14:30:00+00:00,2025-04-04 15:30:00+00:00,1.1001,1.0501,-4.545,stop,0.6368,0
CMTG,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,2.94,3.145,6.973,timeout,0.61,1
TEX,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,33.04,33.84,2.421,timeout,0.6054,1
EU,2025-04-04 14:30:00+00:00,2025-04-04 17:30:00+00:00,1.065,1.12,5.164,timeout,0.6341,1
AEI,2025-04-04 15:30:00+00:00,2025-04-04 16:30:00+00:00,0.86,0.83,-3.488,stop,0.6278,0
PODC,2025-04-04 15:30:00+00:00,2025-04-07 13:30:00+00:00,1.525,1.41,-7.541,stop,0.6222,0
FGBI,2025-04-04 15:30:00+00:00,2025-04-04 18:30:00+00:00,8.0802,7.77,-3.839,stop,0.6115,0
CLWT,2025-04-04 17:30:00+00:00,2025-04-07 13:30:00+00:00,1.105,1.081,-2.172,timeout,0.6129,0
ZKIN,2025-04-04 18:30:00+00:00,2025-04-07 14:30:00+00:00,1.0585,1.1546,9.079,target,0.6097,1
ONMD,2025-04-04 18:30:00+00:00,2025-04-04 19:30:00+00:00,0.5025,0.4846,-3.562,stop,0.6394,0
WFCF,2025-04-04 18:30:00+00:00,2025-04-08 19:30:00+00:00,11.1,10.64,-4.144,stop,0.6106,0
IXHL,2025-04-04 18:30:00+00:00,2025-04-07 14:30:00+00:00,15.0,14.703,-1.98,timeout,0.6119,0
ONMD,2025-04-07 13:30:00+00:00,2025-04-07 14:30:00+00:00,0.4504,0.5,11.012,target,0.6147,1
PODC,2025-04-07 14:30:00+00:00,2025-04-07 15:30:00+00:00,1.49,1.4309,-3.966,stop,0.6308,0
FLS,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,38.96,39.495,1.373,timeout,0.6171,1
RAND,2025-04-07 14:30:00+00:00,2025-04-07 18:30:00+00:00,17.07,16.2101,-5.037,stop,0.6155,0
CRC,2025-04-07 14:30:00+00:00,2025-04-07 17:30:00+00:00,33.505,33.88,1.119,timeout,0.6121,1
AEI,2025-04-07 16:30:00+00:00,2025-04-07 18:30:00+00:00,0.7001,0.76,8.556,target,0.6172,1
DAIO,2025-04-07 16:30:00+00:00,2025-04-07 17:30:00+00:00,2.09,2.259,8.086,target,0.6196,1
ONMD,2025-04-07 17:30:00+00:00,2025-04-08 13:30:00+00:00,0.481,0.555,15.385,target,0.6318,1
ZKIN,2025-04-07 17:30:00+00:00,2025-04-08 14:30:00+00:00,1.051,1.1,4.662,timeout,0.6107,1
CAMP,2025-04-07 19:30:00+00:00,2025-04-08 15:30:00+00:00,2.6,2.62,0.769,timeout,0.615,1
CLWT,2025-04-08 13:30:00+00:00,2025-04-08 14:30:00+00:00,1.05,1.17,11.429,target,0.6081,1
HIHO,2025-04-08 14:30:00+00:00,2025-04-08 19:30:00+00:00,1.47,1.4,-4.762,stop,0.6153,0
PMVP,2025-04-08 16:30:00+00:00,2025-04-08 18:30:00+00:00,0.8701,0.9414,8.194,target,0.603,1
ZKIN,2025-04-08 19:30:00+00:00,2025-04-09 13:30:00+00:00,0.985,0.9357,-5.005,stop,0.6181,0
CLWT,2025-04-08 19:30:00+00:00,2025-04-09 15:30:00+00:00,1.07,1.06,-0.935,timeout,0.6338,0
CAMP,2025-04-08 19:30:00+00:00,2025-04-09 14:30:00+00:00,2.315,2.22,-4.104,stop,0.6159,0
ZKIN,2025-04-09 14:30:00+00:00,2025-04-09 18:30:00+00:00,0.9012,0.9347,3.717,timeout,0.6076,1
VRDN,2025-04-09 14:30:00+00:00,2025-04-09 17:30:00+00:00,10.27,11.8,14.898,target,0.6094,1
SPHL,2025-04-09 15:30:00+00:00,2025-04-09 17:30:00+00:00,3.8152,4.8024,25.875,target,0.6115,1
CLWT,2025-04-10 14:30:00+00:00,2025-04-11 13:30:00+00:00,1.105,1.155,4.525,timeout,0.6162,1
HQI,2025-04-10 14:30:00+00:00,2025-04-10 17:30:00+00:00,10.6885,10.5874,-0.946,timeout,0.6145,0
PMVP,2025-04-10 15:30:00+00:00,2025-04-10 18:30:00+00:00,0.8829,0.8957,1.45,timeout,0.6064,1
NPCE,2025-04-10 15:30:00+00:00,2025-04-10 18:30:00+00:00,10.71,10.63,-0.747,timeout,0.6001,0
ONMD,2025-04-10 15:30:00+00:00,2025-04-11 14:30:00+00:00,0.525,0.53,0.952,timeout,0.6406,1
TGEN,2025-04-10 16:30:00+00:00,2025-04-11 13:30:00+00:00,1.86,1.9,2.151,timeout,0.653,1
ZKIN,2025-04-10 17:30:00+00:00,2025-04-10 19:30:00+00:00,0.9399,0.899,-4.352,stop,0.6109,0
HIFS,2025-04-10 17:30:00+00:00,2025-04-11 13:30:00+00:00,220.965,209.71,-5.094,stop,0.6211,0
RAND,2025-04-10 18:30:00+00:00,2025-04-14 14:30:00+00:00,18.3295,17.0841,-6.795,stop,0.6012,0
CELZ,2025-04-10 19:30:00+00:00,2025-04-11 14:30:00+00:00,1.915,2.075,8.355,target,0.6211,1
FGBI,2025-04-11 13:30:00+00:00,2025-04-11 17:30:00+00:00,7.56,7.53,-0.397,timeout,0.6098,0
CISO,2025-04-11 14:30:00+00:00,2025-04-11 17:30:00+00:00,0.3164,0.3422,8.154,target,0.6007,1
AEI,2025-04-11 16:30:00+00:00,2025-04-11 18:30:00+00:00,0.825,0.775,-6.061,stop,0.6115,0
ONMD,2025-04-11 16:30:00+00:00,2025-04-11 17:30:00+00:00,0.4773,0.52,8.946,target,0.6595,1
PODC,2025-04-14 16:30:00+00:00,2025-04-14 19:30:00+00:00,1.855,1.88,1.348,timeout,0.6427,1
ONMD,2025-04-14 17:30:00+00:00,2025-04-14 18:30:00+00:00,0.5166,0.5,-3.213,stop,0.6124,0
CAMP,2025-04-15 13:30:00+00:00,2025-04-15 16:30:00+00:00,1.8,1.84,2.222,timeout,0.6095,1
ZKIN,2025-04-15 19:30:00+00:00,2025-04-16 15:30:00+00:00,0.8804,0.8446,-4.066,stop,0.6197,0
MGNX,2025-04-16 14:30:00+00:00,2025-04-16 15:30:00+00:00,1.185,1.14,-3.797,stop,0.6123,0
PMVP,2025-04-16 14:30:00+00:00,2025-04-16 17:30:00+00:00,0.9756,1.005,3.014,timeout,0.6056,1
ZKIN,2025-04-16 16:30:00+00:00,2025-04-17 15:30:00+00:00,0.8901,0.97,8.977,target,0.6367,1
CAMP,2025-04-16 19:30:00+00:00,2025-04-17 15:30:00+00:00,1.68,1.705,1.488,timeout,0.6023,1
WFCF,2025-04-17 15:30:00+00:00,2025-04-21 13:30:00+00:00,11.54,12.2799,6.412,timeout,0.6347,1
ONMD,2025-04-17 17:30:00+00:00,2025-04-21 13:30:00+00:00,0.451,0.4939,9.512,target,0.6002,1
BOTJ,2025-04-17 17:30:00+00:00,2025-04-21 17:30:00+00:00,13.33,13.75,3.151,timeout,0.6217,1
PLRZ,2025-04-17 19:30:00+00:00,2025-04-21 15:30:00+00:00,510.0,502.35,-1.5,timeout,0.6119,0
CVV,2025-04-21 15:30:00+00:00,2025-04-22 13:30:00+00:00,2.9567,2.9862,0.998,timeout,0.6008,1
ONMD,2025-04-21 19:30:00+00:00,2025-04-22 15:30:00+00:00,0.42,0.422,0.476,timeout,0.6251,1
RAND,2025-04-22 14:30:00+00:00,2025-04-22 19:30:00+00:00,19.4,19.6,1.031,timeout,0.6066,1
PODC,2025-04-22 14:30:00+00:00,2025-04-22 15:30:00+00:00,1.78,1.72,-3.371,stop,0.6012,0
WFCF,2025-04-23 17:30:00+00:00,2025-04-24 17:30:00+00:00,11.0,10.99,-0.091,timeout,0.6079,0
SOTK,2025-04-24 17:30:00+00:00,2025-04-25 15:30:00+00:00,3.865,3.9539,2.3,timeout,0.606,1
WFCF,2025-04-24 17:30:00+00:00,2025-04-24 18:30:00+00:00,11.75,10.99,-6.468,stop,0.6018,0
CLWT,2025-04-24 18:30:00+00:00,2025-04-25 15:30:00+00:00,1.15,1.18,2.609,timeout,0.6069,1
AIRG,2025-04-25 17:30:00+00:00,2025-04-28 13:30:00+00:00,4.0616,4.05,-0.286,timeout,0.6135,0
CLWT,2025-04-28 18:30:00+00:00,2025-04-29 14:30:00+00:00,1.16,1.14,-1.724,timeout,0.6124,0
CLWT,2025-04-28 19:30:00+00:00,2025-04-29 18:30:00+00:00,1.1366,1.125,-1.021,timeout,0.6096,0
ZKIN,2025-04-29 15:30:00+00:00,2025-04-30 13:30:00+00:00,1.09,1.05,-3.67,stop,0.6171,0
SPHL,2025-04-30 14:30:00+00:00,2025-04-30 17:30:00+00:00,3.9832,3.868,-2.892,timeout,0.6358,0
ZDGE,2025-04-30 14:30:00+00:00,2025-04-30 17:30:00+00:00,2.4026,2.4043,0.071,timeout,0.6076,1
PLUT,2025-05-01 13:30:00+00:00,2025-05-01 16:30:00+00:00,2.325,2.36,1.505,timeout,0.6025,1
SOTK,2025-05-02 17:30:00+00:00,2025-05-05 18:30:00+00:00,3.9514,3.92,-0.795,timeout,0.6115,0
IMCC,2025-05-05 16:30:00+00:00,2025-05-05 19:30:00+00:00,1.7085,1.5801,-7.515,stop,0.6017,0
CLWT,2025-05-06 18:30:00+00:00,2025-05-08 13:30:00+00:00,1.1266,1.1132,-1.189,timeout,0.6443,0
ZKIN,2025-05-06 18:30:00+00:00,2025-05-07 17:30:00+00:00,1.09,1.1101,1.844,timeout,0.6303,1
ELSE,2025-05-07 18:30:00+00:00,2025-05-08 16:30:00+00:00,3.9,4.2401,8.721,target,0.6355,1
HIHO,2025-05-07 18:30:00+00:00,2025-05-08 16:30:00+00:00,1.59,1.79,12.579,target,0.6085,1
ONMD,2025-05-07 19:30:00+00:00,2025-05-08 15:30:00+00:00,0.389,0.405,4.113,timeout,0.6219,1
WFCF,2025-05-09 18:30:00+00:00,2025-05-12 13:30:00+00:00,11.05,10.1028,-8.572,stop,0.6375,0
IMCC,2025-05-09 18:30:00+00:00,2025-05-12 16:30:00+00:00,1.67,1.6167,-3.192,stop,0.6491,0
ELSE,2025-05-09 19:30:00+00:00,2025-05-12 18:30:00+00:00,4.03,4.1705,3.486,timeout,0.603,1
RAND,2025-05-12 13:30:00+00:00,2025-05-13 14:30:00+00:00,18.3962,18.4,0.021,timeout,0.629,1
WFCF,2025-05-12 14:30:00+00:00,2025-05-12 16:30:00+00:00,10.12,9.7,-4.15,stop,0.6577,0
CAMP,2025-05-14 14:30:00+00:00,2025-05-14 17:30:00+00:00,1.83,1.86,1.639,timeout,0.6268,1
HYLN,2025-05-14 14:30:00+00:00,2025-05-14 15:30:00+00:00,1.415,1.57,10.954,target,0.6436,1
IMCC,2025-05-14 15:30:00+00:00,2025-05-14 18:30:00+00:00,1.6,1.5003,-6.231,stop,0.6014,0
TGEN,2025-05-14 17:30:00+00:00,2025-05-15 13:30:00+00:00,3.4301,3.293,-3.997,stop,0.6039,0
IMCC,2025-05-14 19:30:00+00:00,2025-05-15 13:30:00+00:00,1.5137,1.6866,11.422,target,0.6292,1
PODC,2025-05-15 15:30:00+00:00,2025-05-15 19:30:00+00:00,2.0,2.0,0.0,timeout,0.6238,0
RAND,2025-05-15 18:30:00+00:00,2025-05-15 19:30:00+00:00,17.37,15.77,-9.211,stop,0.6028,0
RAND,2025-05-16 13:30:00+00:00,2025-05-16 18:30:00+00:00,16.1,16.7737,4.184,timeout,0.6168,1
ONMD,2025-05-19 13:30:00+00:00,2025-05-19 17:30:00+00:00,0.437,0.4493,2.815,timeout,0.6088,1
CLWT,2025-05-19 15:30:00+00:00,2025-05-19 19:30:00+00:00,1.17,1.16,-0.855,timeout,0.6083,0
PODC,2025-05-19 19:30:00+00:00,2025-05-20 15:30:00+00:00,2.02,2.07,2.475,timeout,0.6181,1
IMCC,2025-05-20 14:30:00+00:00,2025-05-20 15:30:00+00:00,1.541,1.72,11.616,target,0.6092,1
AEI,2025-05-20 15:30:00+00:00,2025-05-21 13:30:00+00:00,0.9301,0.92,-1.086,timeout,0.6019,0
PLUT,2025-05-21 14:30:00+00:00,2025-05-22 16:30:00+00:00,2.56,2.42,-5.469,stop,0.6264,0
PODC,2025-05-21 17:30:00+00:00,2025-05-22 15:30:00+00:00,1.91,2.0035,4.895,timeout,0.6142,1
ONMD,2025-05-21 18:30:00+00:00,2025-05-22 14:30:00+00:00,0.393,0.3946,0.407,timeout,0.6205,1
HIHO,2025-05-22 14:30:00+00:00,2025-05-23 16:30:00+00:00,1.82,1.8,-1.099,timeout,0.6057,0
PLUT,2025-05-22 17:30:00+00:00,2025-05-23 19:30:00+00:00,2.51,2.4,-4.382,stop,0.6315,0
PLUT,2025-05-27 13:30:00+00:00,2025-05-27 16:30:00+00:00,2.31,2.39,3.463,timeout,0.6113,1
PODC,2025-05-27 17:30:00+00:00,2025-05-27 18:30:00+00:00,2.0292,1.9501,-3.898,stop,0.6293,0
PLUT,2025-05-28 14:30:00+00:00,2025-05-28 17:30:00+00:00,2.24,2.265,1.116,timeout,0.6001,1
CLWT,2025-05-28 15:30:00+00:00,2025-05-29 13:30:00+00:00,1.11,1.1365,2.387,timeout,0.6121,1
ONMD,2025-05-29 17:30:00+00:00,2025-05-29 18:30:00+00:00,0.423,0.3932,-7.045,stop,0.6017,0
ONMD,2025-05-29 19:30:00+00:00,2025-05-30 13:30:00+00:00,0.4126,0.3896,-5.574,stop,0.626,0
PODC,2025-05-30 13:30:00+00:00,2025-06-02 13:30:00+00:00,1.9,1.9295,1.553,timeout,0.6167,1
SLSN,2025-05-30 14:30:00+00:00,2025-05-30 17:30:00+00:00,3.8501,3.98,3.374,timeout,0.6179,1
RAND,2025-05-30 17:30:00+00:00,2025-06-02 15:30:00+00:00,15.8499,15.4,-2.839,timeout,0.611,0
SOTK,2025-06-02 15:30:00+00:00,2025-06-03 14:30:00+00:00,3.8827,3.8,-2.13,timeout,0.6496,0
RAND,2025-06-02 16:30:00+00:00,2025-06-02 19:30:00+00:00,15.875,15.12,-4.756,stop,0.6139,0
WFCF,2025-06-02 17:30:00+00:00,2025-06-03 15:30:00+00:00,9.78,10.32,5.521,timeout,0.6334,1
WFCF,2025-06-03 14:30:00+00:00,2025-06-04 14:30:00+00:00,10.3118,10.35,0.37,timeout,0.6051,1
PLUT,2025-06-04 19:30:00+00:00,2025-06-05 18:30:00+00:00,2.4,2.4,0.0,timeout,0.608,0
PODC,2025-06-05 13:30:00+00:00,2025-06-05 16:30:00+00:00,1.99,2.0,0.503,timeout,0.6327,1
WFCF,2025-06-06 13:30:00+00:00,2025-06-10 19:30:00+00:00,9.9,10.25,3.535,timeout,0.6376,1
AEI,2025-06-09 17:30:00+00:00,2025-06-10 15:30:00+00:00,0.8949,0.87,-2.782,timeout,0.6168,0
ONMD,2025-06-12 13:30:00+00:00,2025-06-12 14:30:00+00:00,0.408,0.39,-4.412,stop,0.6115,0
PLUT,2025-06-12 15:30:00+00:00,2025-06-12 18:30:00+00:00,2.35,2.29,-2.553,timeout,0.6301,0
AEI,2025-06-12 15:30:00+00:00,2025-06-13 14:30:00+00:00,0.8575,0.85,-0.875,timeout,0.6012,0
CVV,2025-06-12 19:30:00+00:00,2025-06-13 15:30:00+00:00,3.1443,3.0901,-1.724,timeout,0.6038,0
PLUT,2025-06-13 13:30:00+00:00,2025-06-13 14:30:00+00:00,2.355,2.22,-5.732,stop,0.6063,0
ELSE,2025-06-13 15:30:00+00:00,2025-06-16 13:30:00+00:00,4.26,4.16,-2.347,timeout,0.6218,0
CLWT,2025-06-13 17:30:00+00:00,2025-06-16 13:30:00+00:00,1.16,1.115,-3.879,stop,0.6251,0
PODC,2025-06-13 18:30:00+00:00,2025-06-16 16:30:00+00:00,1.9101,1.935,1.304,timeout,0.6028,1
SPHL,2025-06-13 19:30:00+00:00,2025-06-16 13:30:00+00:00,4.1592,3.9032,-6.155,stop,0.6216,0
PODC,2025-06-16 15:30:00+00:00,2025-06-16 18:30:00+00:00,1.92,1.9176,-0.125,timeout,0.6112,0
CLWT,2025-06-17 16:30:00+00:00,2025-06-18 13:30:00+00:00,1.1,1.12,1.818,timeout,0.6114,1
PODC,2025-06-18 14:30:00+00:00,2025-06-18 17:30:00+00:00,1.968,1.99,1.118,timeout,0.6013,1
EUDA,2025-06-23 14:30:00+00:00,2025-06-23 18:30:00+00:00,70.6,72.6,2.833,timeout,0.6257,1
HIHO,2025-06-23 19:30:00+00:00,2025-06-24 15:30:00+00:00,1.72,1.6598,-3.5,stop,0.6383,0
